imgurl,date,playerurl,title,bnumber,issue,assetindex
https://dlcs.io/iiif-img/2/1/1ed40bd9-b9d6-46d4-be3e-f09e3c9568b0/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1941-11-29T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=944&s=0&cv=58,"The chemist and druggist, issue 3225 - 29. November 1941",b19974760,944,58
https://dlcs.io/iiif-img/2/1/dac03841-2d62-4500-a93b-bb804148277e/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1941-12-27T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=948&s=0&cv=19,"The chemist and druggist, issue 3229 - 27. December 1941",b19974760,948,19
https://dlcs.io/iiif-img/2/1/e565c2cb-3e2c-4bdb-933d-8ebb67f8d4f0/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-01-10T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=950&s=0&cv=67,"The chemist and druggist, issue 3231 - 10. January 1942",b19974760,950,67
https://dlcs.io/iiif-img/2/1/420555cc-8ff3-4058-8855-51697a90d535/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-02-21T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=956&s=0&cv=73,"The chemist and druggist, issue 3237 - 21. February 1942",b19974760,956,73
https://dlcs.io/iiif-img/2/1/976c6a6e-343c-40ad-9b24-6215972f68e9/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-03-07T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=958&s=0&cv=63,"The chemist and druggist, issue 3239 - 7. March 1942",b19974760,958,63
https://dlcs.io/iiif-img/2/1/369a0259-4155-473a-961c-acb613ec4cd1/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-08-29T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=983&s=0&cv=30,"The chemist and druggist, issue 3264 - 29. August 1942",b19974760,983,30
https://dlcs.io/iiif-img/2/1/8a062374-ce78-4591-a423-29660ae51533/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-09-05T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=984&s=0&cv=61,"The chemist and druggist, issue 3265 - 5. September 1942",b19974760,984,61
https://dlcs.io/iiif-img/2/1/bb49e378-f17e-4114-a082-ac826cf2b42b/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-10-03T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=988&s=0&cv=68,"The chemist and druggist, issue 3269 - 3. October 1942",b19974760,988,68
https://dlcs.io/iiif-img/2/1/5841724d-2493-42bf-a3bb-3f745668abc2/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-10-17T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=990&s=0&cv=59,"The chemist and druggist, issue 3271 - 17. October 1942",b19974760,990,59
https://dlcs.io/iiif-img/2/1/08fcb45f-b206-44e2-9d56-bd3e5e5dc4c3/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-10-31T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=992&s=0&cv=37,"The chemist and druggist, issue 3273 - 31. October 1942",b19974760,992,37
https://dlcs.io/iiif-img/2/1/467114ca-3943-4dd7-9d65-4ec3294abd91/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-11-07T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=993&s=0&cv=65,"The chemist and druggist, issue 3274 - 7. November 1942",b19974760,993,65
https://dlcs.io/iiif-img/2/1/1208a79f-0069-4563-8df7-efa62202ef0a/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-11-28T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=996&s=0&cv=62,"The chemist and druggist, issue 3277 - 28. November 1942",b19974760,996,62
https://dlcs.io/iiif-img/2/1/72216b1c-08af-4555-8bfe-8ae649fb6e57/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1942-12-05T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=997&s=0&cv=59,"The chemist and druggist, issue 3278 - 5. December 1942",b19974760,997,59
https://dlcs.io/iiif-img/2/1/4307804a-ed4c-49d5-99bd-ac0f4d08bd4f/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1943-01-02T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=1001&s=0&cv=60,"The chemist and druggist, issue 3282 - 2. January 1943",b19974760,1001,60
