imgurl,date,playerurl,title,bnumber,issue,assetindex
https://dlcs.io/iiif-img/2/1/0803a999-cca8-46a9-b852-e9d9b1ebf9e6/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1928-08-25T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=268&s=0&cv=61,"The chemist and druggist, issue 2533 - 25. August 1928",b19974760,268,61
https://dlcs.io/iiif-img/2/1/4d429d49-b96b-4e30-ac91-5bc45e8a4b81/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1928-09-22T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=272&s=0&cv=14,"The chemist and druggist, issue 2537 - 22. September 1928",b19974760,272,14
https://dlcs.io/iiif-img/2/1/994408e5-7769-4800-a44f-9eece07f3362/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1928-12-01T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=282&s=0&cv=93,"The chemist and druggist, issue 2547 - 1. December 1928",b19974760,282,93
https://dlcs.io/iiif-img/2/1/6e98a077-09a6-45e5-be70-cee02e6473a2/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1870-01-15T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=287&s=0&cv=10,"The chemist and druggist, issue - - 15. January 1870",b19974760,287,10
https://dlcs.io/iiif-img/2/1/0ab33854-12e7-428c-b2a8-10e94cbf31ad/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1870-07-15T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=293&s=0&cv=14,"The chemist and druggist, issue - - 15. July 1870",b19974760,293,14
https://dlcs.io/iiif-img/2/1/6bb44c4f-942c-4f9f-acb4-7afe9fe8f3f0/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1870-07-15T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=293&s=0&cv=15,"The chemist and druggist, issue - - 15. July 1870",b19974760,293,15
https://dlcs.io/iiif-img/2/1/c070cd98-6d3d-4158-bfd2-a761fd66bb58/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1870-10-15T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=296&s=0&cv=12,"The chemist and druggist, issue - - 15. October 1870",b19974760,296,12
https://dlcs.io/iiif-img/2/1/ee5b62a0-3c69-429e-b7ff-0861070fcee1/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-01-26T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=302&s=0&cv=14,"The chemist and druggist, issue 2555 - 26. January 1929",b19974760,302,14
https://dlcs.io/iiif-img/2/1/17a0f7a8-6d04-4943-b78e-27be581fabec/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-02-02T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=303&s=0&cv=18,"The chemist and druggist, issue 2556 - 2. February 1929",b19974760,303,18
https://dlcs.io/iiif-img/2/1/c9cc7953-a091-4adc-94b8-d7a38ccf3309/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-02-23T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=306&s=0&cv=148,"The chemist and druggist, issue 2559 - 23. February 1929",b19974760,306,148
https://dlcs.io/iiif-img/2/1/ff878c52-d2ed-48c6-b02f-8b9dad4b8050/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-03-02T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=307&s=0&cv=8,"The chemist and druggist, issue 2560 - 2. March 1929",b19974760,307,8
https://dlcs.io/iiif-img/2/1/aa62a988-7b96-42b2-bff7-56c1824691a1/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-03-02T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=307&s=0&cv=98,"The chemist and druggist, issue 2560 - 2. March 1929",b19974760,307,98
https://dlcs.io/iiif-img/2/1/1202f535-bf43-4d22-b326-90d146c85dbf/0%2c0%2c2306%2c3817/212%2c321/0/default.jpg,1929-04-06T00:00:00,http://wellcomelibrary.org/item/b19974760#?c=0&m=312&s=0&cv=60,"The chemist and druggist, issue 2565 - 6. April 1929",b19974760,312,60
